node1,node2
ABCA1,SLC7A2
ABCA1,SLC7A3
ABCA1,SLC7A5
ABCA1,SLC7A6
ABCA1,SLC7A7
ABCA1,SLC7A8
ABCA1,SLC7A9
ABCA1,SOAT1
ABCA1,SOAT2
ABCA1,STS
ABCA1,SULT2B1
ABCA1,TDO2
ABCA1,TMEM91
ABCA1,TMEM97
ABCA1,TPH1
ABCA1,TPH2
ABCA1,TPSAB1
ABCA1,TPSB2
ABCA1,TPSD1
ABCA1,TYR
ABCA2,APOA1
ABCA2,CH25H
ABCA2,LCAT
ABCA2,SULT2B1
ABCA3,ADGRF5
ABCA3,ADORA2A
ABCA3,ADORA2B
ABCA3,ADRA2A
ABCA3,ADRA2C
ABCA3,P2RY2
ABCA4,AKR1C3
ABCA4,ALDH1A1
ABCA4,ALDH1A2
ABCA4,ALDH1A3
ABCA4,DHRS3
ABCA4,DHRS4
ABCA4,DHRS9
ABCA4,HSD17B1
ABCA4,RDH10
ABCA4,RDH11
ABCA4,RDH12
ABCA4,RDH14
ABCA4,RDH8
ABCA5,ABCA10
ABCA5,ABCA2
ABCA5,ABCA6
ABCA5,ABCA9
ABCA5,ABCG4
ABCA5,CH25H
ABCA5,SULT2B1
ABCA6,APOA1
ABCA6,CH25H
ABCA6,LCAT
ABCA6,SULT2B1
ABCA9,APOA1
ABCA9,CH25H
ABCA9,LCAT
ABCA9,SULT2B1
ABCB10,ABCG2
ABCB10,FLVCR1
ABCB10,HMOX1
ABCB10,HMOX2
ABCB11,SLC10A2
ABCB11,SLC7A9
ABCB11,SLCO1A2
ABCB11,SLCO1B1
ABCB11,SLCO4A1
ABCB1,ABCB5
ABCB1,ABCC1
ABCB1,ABCG2
ABCB1,AKR1A1
ABCB1,AKR1B10
ABCB1,AKR1B1
ABCB1,AKR1C3
ABCB1,APEX1
ABCB1,ATP7A
ABCB1,BCHE
ABCB1,CBR1
ABCB1,CBR3
ABCB1,CES1
ABCB1,CES2
ABCB1,CIAPIN1
ABCB1,CYP3A4
ABCB1,CYP3A5
ABCB1,KEAP1
ABCB1,POLR1H
ABCB1,PPP1R1B
ABCB1,RALBP1
ABCB1,RUNX3
ABCB1,SLC22A16
ABCB1,SLC22A1
ABCB1,SLC22A2
ABCB1,SLC22A3
ABCB1,SOD2
ABCB1,TP53
ABCB4,APOA1
ABCB4,LCAT
ABCB4,LRAT
ABCB4,PLA2G10
ABCB4,PLA2G12A
ABCB4,PLA2G1B
ABCB4,PLA2G2A
ABCB4,PLA2G2D
ABCB4,PLA2G2E
ABCB4,PLA2G2F
ABCB4,PLA2G5
ABCB4,PLD2
ABCB4,PTDSS1
ABCB4,SGMS1
ABCB6,IL1B
ABCB7,ABCG2
ABCB7,FLVCR1
ABCB7,HMOX1
ABCB7,HMOX2
ABCB8,ABCG2
ABCB8,FLVCR1
ABCB8,HMOX1
ABCB8,HMOX2
ABCC10,ABCB1
ABCC10,ABCC2
ABCC10,SOD2
ABCC1,AKR1A1
ABCC1,AKR1B10
ABCC1,AKR1B1
ABCC1,AKR1C3
ABCC1,AOX1
ABCC1,APEX1
ABCC1,CBR1
ABCC1,CBR3
ABCC1,FPGS
ABCC1,GGT1
ABCC1,GGT5
ABCC1,GSTA1
ABCC1,GSTA2
ABCC1,GSTA4
ABCC1,GSTM1
ABCC1,GSTM2
ABCC1,GSTM3
ABCC1,GSTP1
ABCC1,GSTT1
ABCC1,GSTZ1
ABCC1,MPO
ABCC1,MTHFR
ABCC1,MTR
ABCC1,PLPP1
ABCC1,SLC22A1
ABCC1,SLC22A2
ABCC1,SLC22A3
ABCC1,SLCO1B1
ABCC1,SLCO1B3
ABCC1,TCN2
ABCC2,ABCC1
ABCC2,ABCC3
ABCC2,AGT
ABCC2,AOX1
ABCC2,BCHE
ABCC2,CES1
ABCC2,CES2
ABCC2,CYP3A4
ABCC2,CYP3A5
ABCC2,FPGS
ABCC2,GSTA1
ABCC2,GSTA3
ABCC2,GSTM1
ABCC2,GSTP1
ABCC2,GSTT1
ABCC2,IFNG
ABCC2,INS
ABCC2,MPO
ABCC2,MTHFR
ABCC2,MTR
ABCC2,NOS3
ABCC2,SLC22A1
ABCC2,SLC22A2
ABCC2,SLC22A3
ABCC2,SLCO1B3
ABCC2,TCN2
ABCC2,TNF
ABCC3,NCOA1
ABCC3,NCOA2
ABCC3,NR1H4
ABCC3,RXRA
ABCC3,SLC10A1
ABCC3,SLC10A2
ABCC3,SLC22A1
ABCC3,SLC22A2
ABCC3,SLC22A3
ABCC4,ABCC5
ABCC4,AOX1
ABCC4,ATP6AP1
ABCC4,ATP6V0A1
ABCC4,ATP6V0A2
ABCC4,ATP6V0A4
ABCC4,ATP6V0B
ABCC4,ATP6V0C
ABCC4,ATP6V0D1
ABCC4,ATP6V0D2
ABCC4,ATP6V0E1
ABCC4,ATP6V0E2
ABCC4,ATP6V1A
ABCC4,ATP6V1B1
ABCC4,ATP6V1B2
ABCC4,ATP6V1C1
ABCC4,ATP6V1C2
ABCC4,ATP6V1D
ABCC4,ATP6V1E1
ABCC4,ATP6V1E2
ABCC4,ATP6V1F
ABCC4,ATP6V1G1
ABCC4,ATP6V1G2
ABCC4,ATP6V1G3
ABCC4,ATP6V1H
ABCC4,FPGS
ABCC4,GAPDHS
ABCC4,GAPDH
ABCC4,HVCN1
ABCC4,IL1B
ABCC4,MTAP
ABCC4,MTHFR
ABCC4,MTR
ABCC4,NOX4
ABCC4,NSF
ABCC4,PICK1
ABCC4,PNP
ABCC4,PYGB
ABCC4,PYGL
ABCC4,PYGM
ABCC4,SLC17A3
ABCC4,SLC22A1
ABCC4,SLC22A2
ABCC4,SLC22A3
ABCC4,SLC22A6
ABCC4,SLC22A7
ABCC4,SLC25A10
ABCC4,SLCO1A2
ABCC4,SLCO1B1
ABCC4,SLCO1C1
ABCC4,SLCO2A1
ABCC4,SLCO3A1
ABCC4,SLCO4A1
ABCC4,TCIRG1
ABCC4,TCN2
ABCC4,TSPAN7
ABCC4,UPP1
ABCC4,UPP2
ABCC8,ABCC9
ABCC8,ATP1A1
ABCC8,ATP1A2
ABCC8,ATP1A3
ABCC8,ATP1A4
ABCC8,ATP1B1
ABCC8,ATP1B2
ABCC8,ATP1B3
ABCC8,ATP1B4
ABCC8,CAPZA1
ABCC8,CAPZA2
ABCC8,CAPZB
ABCC8,CASK
ABCC8,CDH23
ABCC8,CIB2
ABCC8,CLIC5
ABCC8,EPB41L1
ABCC8,EPB41L3
ABCC8,EPS8L2
ABCC8,EPS8
ABCC8,ESPNL
ABCC8,ESPN
ABCC8,EZR
ABCC8,FSCN2
ABCC8,FXYD1
ABCC8,FXYD2
ABCC8,FXYD3
ABCC8,FXYD4
ABCC8,FXYD6
ABCC8,FXYD7
ABCC8,GRXCR1
ABCC8,GRXCR2
ABCC8,GSN
ABCC8,HCN4
ABCC8,HTR3A
ABCC8,HTR3B
ABCC8,HTR3C
ABCC8,HTR3D
ABCC8,HTR3E
ABCC8,KCNJ11
ABCC8,LHFPL5
ABCC8,MPP1
ABCC8,MSN
ABCC8,MYH9
ABCC8,MYO15A
ABCC8,MYO1C
ABCC8,MYO3A
ABCC8,MYO3B
ABCC8,MYO7A
ABCC8,OTOGL
ABCC8,OTOG
ABCC8,PCDH15
ABCC8,PJVK
ABCC8,PLS1
ABCC8,RDX
ABCC8,RIPOR2
ABCC8,SLC12A1
ABCC8,SLC12A2
ABCC8,SPTAN1
ABCC8,SPTBN1
ABCC8,STRC
ABCC8,TMC1
ABCC8,TMC2
ABCC8,TMIE
ABCC8,TPRN
ABCC8,TRIOBP
ABCC8,TWF1
ABCC8,TWF2
ABCC8,USH1C
ABCC8,USH1G
ABCC8,WHRN
ABCC8,XIRP2
ABCC9,ATP1A1
ABCC9,ATP1A2
ABCC9,ATP1A3
ABCC9,ATP1A4
ABCC9,ATP1B1
ABCC9,ATP1B2
ABCC9,ATP1B3
ABCC9,ATP1B4
ABCC9,CAPZA1
ABCC9,CAPZA2
ABCC9,CAPZB
ABCC9,CASK
ABCC9,CDH23
ABCC9,CIB2
ABCC9,CLIC5
ABCC9,EPB41L1
ABCC9,EPB41L3
ABCC9,EPS8L2
ABCC9,EPS8
ABCC9,ESPNL
ABCC9,ESPN
ABCC9,EZR
ABCC9,FSCN2
ABCC9,FXYD1
ABCC9,FXYD2
ABCC9,FXYD3
ABCC9,FXYD4
ABCC9,FXYD6
ABCC9,FXYD7
ABCC9,GRXCR1
ABCC9,GRXCR2
ABCC9,GSN
ABCC9,HCN4
ABCC9,HTR3A
ABCC9,HTR3B
ABCC9,HTR3C
ABCC9,HTR3D
ABCC9,HTR3E
ABCC9,KCNJ11
ABCC9,LHFPL5
ABCC9,MPP1
ABCC9,MSN
ABCC9,MYH9
ABCC9,MYO15A
ABCC9,MYO1C
ABCC9,MYO3A
ABCC9,MYO3B
ABCC9,MYO7A
ABCC9,OTOGL
ABCC9,OTOG
ABCC9,PCDH15
ABCC9,PJVK
ABCC9,PLS1
ABCC9,RDX
ABCC9,RIPOR2
ABCC9,SLC12A1
ABCC9,SLC12A2
ABCC9,SPTAN1
ABCC9,SPTBN1
ABCC9,STRC
ABCC9,TMC1
ABCC9,TMC2
ABCC9,TMIE
ABCC9,TPRN
ABCC9,TRIOBP
ABCC9,TWF1
ABCC9,TWF2
ABCC9,USH1C
ABCC9,USH1G
ABCC9,WHRN
ABCC9,XIRP2
ABCD1,ACAA1
ABCD1,ACO2
ABCD1,ACOT2
ABCD1,ACOT4
ABCD1,ACOT6
ABCD1,ACOT8
ABCD1,ACOX1
ABCD1,ALDH1B1
ABCD1,ALDH2
ABCD1,ALDH3A2
ABCD1,ALDH7A1
ABCD1,ALDH9A1
ABCD1,ALDOB
ABCD1,ALDOC
ABCD1,AMT
ABCD1,ATG14
ABCD1,BAAT
ABCD1,BBOX1
ABCD1,BCAT1
ABCD1,BECN1
ABCD1,CPT1A
ABCD1,CPT1B
ABCD1,CPT1C
ABCD1,CPT2
ABCD1,DLD
ABCD1,DPM2
ABCD1,EHHADH
ABCD1,FASN
ABCD1,FH
ABCD1,GLDC
ABCD1,GOT1
ABCD1,GPT2
ABCD1,GPT
ABCD1,HSD17B4
ABCD1,IDH2
ABCD1,IDH3A
ABCD1,IDH3B
ABCD1,IDH3G
ABCD1,KYAT1
ABCD1,MDH1B
ABCD1,MDH1
ABCD1,ME1
ABCD1,PHYH
ABCD1,PI4K2B
ABCD1,PI4KA
ABCD1,PIGA
ABCD1,PIGC
ABCD1,PIGH
ABCD1,PIGP
ABCD1,PIGQ
ABCD1,PIGW
ABCD1,PIGY
ABCD1,PIK3C3
ABCD1,PIK3R4
ABCD1,PITPNM1
ABCD1,PITPNM2
ABCD1,PITPNM3
ABCD1,PLA2G2A
ABCD1,PLA2G4A
ABCD1,PLA2G4C
ABCD1,PLA2G4D
ABCD1,PLA2G4E
ABCD1,PLA2G4F
ABCD1,PLAAT3
ABCD1,PLBD1
ABCD1,PLOD1
ABCD1,PLOD3
ABCD1,QDPR
ABCD1,RRM1
