gene_name	entry_name
G6PD	G6PD_HUMAN
GAL3ST1	G3ST1_HUMAN
ITPKB	IP3KB_HUMAN
ALDH4A1	AL4A1_HUMAN
GLB1	BGAL_HUMAN
DPYS	DPYS_HUMAN
HGD	HGD_HUMAN
UROC1	HUTU_HUMAN
ALG13	ALG13_HUMAN
SGSH	SPHM_HUMAN
UGT2A3	UD2A3_HUMAN
MOCS1	MOCS1_HUMAN
PDE5A	PDE5A_HUMAN
XYLB	XYLB_HUMAN
PHGDH	SERA_HUMAN
QDPR	DHPR_HUMAN
CPS1	CPSM_HUMAN
POLE4	DPOE4_HUMAN
ACO2	ACON_HUMAN
SOAT1	SOAT1_HUMAN
HCCS	CCHL_HUMAN
HYI	HYI_HUMAN
PIK3CB	PK3CB_HUMAN
FTMT	FTMT_HUMAN
MCEE	MCEE_HUMAN
DHDDS	DHDDS_HUMAN
CERK	CERK1_HUMAN
COX15	COX15_HUMAN
CYP26C1	CP26C_HUMAN
HYAL1	HYAL1_HUMAN
PDSS1	DPS1_HUMAN
TPO	PERT_HUMAN
MCCC2	MCCB_HUMAN
AGPS	ADAS_HUMAN
CYP11B2	C11B2_HUMAN
MMAB	MMAB_HUMAN
PIK3CA	PK3CA_HUMAN
FUT7	FUT7_HUMAN
TYRP1	TYRP1_HUMAN
ALPI	PPBI_HUMAN
PIK3CD	PK3CD_HUMAN
SDS	SDHL_HUMAN
PIK3CG	PK3CG_HUMAN
SEPSECS	SPCS_HUMAN
PIKFYVE	FYV1_HUMAN
MOCS2	MOC2A_HUMAN
MOCS2	MOC2B_HUMAN
