GPX6	controls-production-of	chebi:17858
GPX6	controls-production-of	chebi:28209
JMJD7-PLA2G4B	catalysis-precedes	ALOX12B
JMJD7-PLA2G4B	catalysis-precedes	ALOX12
JMJD7-PLA2G4B	catalysis-precedes	ALOX15B
JMJD7-PLA2G4B	controls-production-of	CHEBI:16110
JMJD7-PLA2G4B	controls-production-of	CHEBI:17504
JMJD7-PLA2G4B	controls-production-of	CHEBI:49183
JMJD7-PLA2G4B	catalysis-precedes	CYP2B6
JMJD7-PLA2G4B	catalysis-precedes	CYP2C18
JMJD7-PLA2G4B	catalysis-precedes	CYP2C19
JMJD7-PLA2G4B	catalysis-precedes	CYP2C8
JMJD7-PLA2G4B	catalysis-precedes	CYP2C9
JMJD7-PLA2G4B	catalysis-precedes	CYP2J2
JMJD7-PLA2G4B	catalysis-precedes	CYP4A22
JMJD7-PLA2G4B	controls-production-of	chebi:15843
LPCAT4	catalysis-precedes	ALOX12B
LPCAT4	catalysis-precedes	ALOX12
LPCAT4	catalysis-precedes	ALOX15B
LPCAT4	controls-production-of	CHEBI:16110
LPCAT4	controls-production-of	CHEBI:17504
LPCAT4	controls-production-of	CHEBI:49183
LPCAT4	catalysis-precedes	CYP2B6
LPCAT4	catalysis-precedes	CYP2C18
LPCAT4	catalysis-precedes	CYP2C19
LPCAT4	catalysis-precedes	CYP2C8
LPCAT4	catalysis-precedes	CYP2C9
LPCAT4	catalysis-precedes	CYP2J2
LPCAT4	catalysis-precedes	CYP4A22
LPCAT4	controls-production-of	chebi:15843
PLA2G10	catalysis-precedes	ALOX12B
PLA2G10	catalysis-precedes	ALOX12
PLA2G10	catalysis-precedes	ALOX15B
PLA2G10	controls-production-of	CHEBI:16110
PLA2G10	controls-production-of	CHEBI:17504
PLA2G10	controls-production-of	CHEBI:49183
PLA2G10	catalysis-precedes	CYP2B6
PLA2G10	catalysis-precedes	CYP2C18
PLA2G10	catalysis-precedes	CYP2C19
PLA2G10	catalysis-precedes	CYP2C8
PLA2G10	catalysis-precedes	CYP2C9
PLA2G10	catalysis-precedes	CYP2J2
PLA2G10	catalysis-precedes	CYP4A22
PLA2G10	controls-production-of	chebi:15843
PLA2G12A	catalysis-precedes	ALOX12B
PLA2G12A	catalysis-precedes	ALOX12
PLA2G12A	catalysis-precedes	ALOX15B
PLA2G12A	controls-production-of	CHEBI:16110
PLA2G12A	controls-production-of	CHEBI:17504
PLA2G12A	controls-production-of	CHEBI:49183
PLA2G12A	catalysis-precedes	CYP2B6
PLA2G12A	catalysis-precedes	CYP2C18
PLA2G12A	catalysis-precedes	CYP2C19
PLA2G12A	catalysis-precedes	CYP2C8
PLA2G12A	catalysis-precedes	CYP2C9
PLA2G12A	catalysis-precedes	CYP2J2
PLA2G12A	catalysis-precedes	CYP4A22
PLA2G12A	controls-production-of	chebi:15843
PLA2G12B	catalysis-precedes	ALOX12B
PLA2G12B	catalysis-precedes	ALOX12
PLA2G12B	catalysis-precedes	ALOX15B
PLA2G12B	controls-production-of	CHEBI:16110
PLA2G12B	controls-production-of	CHEBI:17504
PLA2G12B	controls-production-of	CHEBI:49183
PLA2G12B	catalysis-precedes	CYP2B6
PLA2G12B	catalysis-precedes	CYP2C18
PLA2G12B	catalysis-precedes	CYP2C19
PLA2G12B	catalysis-precedes	CYP2C8
PLA2G12B	catalysis-precedes	CYP2C9
PLA2G12B	catalysis-precedes	CYP2J2
PLA2G12B	catalysis-precedes	CYP4A22
PLA2G12B	controls-production-of	chebi:15843
PLA2G1B	catalysis-precedes	ALOX12B
PLA2G1B	catalysis-precedes	ALOX12
PLA2G1B	catalysis-precedes	ALOX15B
PLA2G1B	controls-production-of	CHEBI:16110
PLA2G1B	controls-production-of	CHEBI:17504
PLA2G1B	controls-production-of	CHEBI:49183
PLA2G1B	catalysis-precedes	CYP2B6
PLA2G1B	catalysis-precedes	CYP2C18
PLA2G1B	catalysis-precedes	CYP2C19
PLA2G1B	catalysis-precedes	CYP2C8
PLA2G1B	catalysis-precedes	CYP2C9
PLA2G1B	catalysis-precedes	CYP2J2
PLA2G1B	catalysis-precedes	CYP4A22
PLA2G1B	controls-production-of	chebi:15843
PLA2G2A	catalysis-precedes	ALOX12B
PLA2G2A	catalysis-precedes	ALOX12
PLA2G2A	catalysis-precedes	ALOX15B
PLA2G2A	controls-production-of	CHEBI:16110
PLA2G2A	controls-production-of	CHEBI:17504
PLA2G2A	controls-production-of	CHEBI:49183
PLA2G2A	catalysis-precedes	CYP2B6
PLA2G2A	catalysis-precedes	CYP2C18
PLA2G2A	catalysis-precedes	CYP2C19
PLA2G2A	catalysis-precedes	CYP2C8
PLA2G2A	catalysis-precedes	CYP2C9
PLA2G2A	catalysis-precedes	CYP2J2
PLA2G2A	catalysis-precedes	CYP4A22
PLA2G2A	controls-production-of	chebi:15843
PLA2G2C	catalysis-precedes	ALOX12B
PLA2G2C	catalysis-precedes	ALOX12
PLA2G2C	catalysis-precedes	ALOX15B
PLA2G2C	controls-production-of	CHEBI:16110
PLA2G2C	controls-production-of	CHEBI:17504
PLA2G2C	controls-production-of	CHEBI:49183
PLA2G2C	catalysis-precedes	CYP2B6
PLA2G2C	catalysis-precedes	CYP2C18
PLA2G2C	catalysis-precedes	CYP2C19
PLA2G2C	catalysis-precedes	CYP2C8
PLA2G2C	catalysis-precedes	CYP2C9
PLA2G2C	catalysis-precedes	CYP2J2
PLA2G2C	catalysis-precedes	CYP4A22
PLA2G2C	controls-production-of	chebi:15843
PLA2G2D	catalysis-precedes	ALOX12B
PLA2G2D	catalysis-precedes	ALOX12
PLA2G2D	catalysis-precedes	ALOX15B
PLA2G2D	controls-production-of	CHEBI:16110
PLA2G2D	controls-production-of	CHEBI:17504
PLA2G2D	controls-production-of	CHEBI:49183
PLA2G2D	catalysis-precedes	CYP2B6
PLA2G2D	catalysis-precedes	CYP2C18
PLA2G2D	catalysis-precedes	CYP2C19
PLA2G2D	catalysis-precedes	CYP2C8
PLA2G2D	catalysis-precedes	CYP2C9
PLA2G2D	catalysis-precedes	CYP2J2
PLA2G2D	catalysis-precedes	CYP4A22
PLA2G2D	controls-production-of	chebi:15843
PLA2G2E	catalysis-precedes	ALOX12B
PLA2G2E	catalysis-precedes	ALOX12
PLA2G2E	catalysis-precedes	ALOX15B
PLA2G2E	controls-production-of	CHEBI:16110
PLA2G2E	controls-production-of	CHEBI:17504
PLA2G2E	controls-production-of	CHEBI:49183
PLA2G2E	catalysis-precedes	CYP2B6
PLA2G2E	catalysis-precedes	CYP2C18
PLA2G2E	catalysis-precedes	CYP2C19
PLA2G2E	catalysis-precedes	CYP2C8
PLA2G2E	catalysis-precedes	CYP2C9
PLA2G2E	catalysis-precedes	CYP2J2
PLA2G2E	catalysis-precedes	CYP4A22
PLA2G2E	controls-production-of	chebi:15843
PLA2G2F	catalysis-precedes	ALOX12B
PLA2G2F	catalysis-precedes	ALOX12
PLA2G2F	catalysis-precedes	ALOX15B
PLA2G2F	controls-production-of	CHEBI:16110
PLA2G2F	controls-production-of	CHEBI:17504
PLA2G2F	controls-production-of	CHEBI:49183
PLA2G2F	catalysis-precedes	CYP2B6
PLA2G2F	catalysis-precedes	CYP2C18
PLA2G2F	catalysis-precedes	CYP2C19
PLA2G2F	catalysis-precedes	CYP2C8
PLA2G2F	catalysis-precedes	CYP2C9
PLA2G2F	catalysis-precedes	CYP2J2
PLA2G2F	catalysis-precedes	CYP4A22
