gene_name,entry_name
CYP2C8,CP2C8_HUMAN
CYP2C8,B7Z1F5_HUMAN
CYP2C8,G3V188_HUMAN
CYP2C8,E9PLI9_HUMAN
CYP2C8,E9PIW6_HUMAN
CYP2C8,A0A0D9SG51_HUMAN
TAZ,Q2VF39_HUMAN
TAZ,A0A0S2Z4E6_HUMAN
TAZ,A0A0S2Z4K0_HUMAN
TAZ,A0A494C0C5_HUMAN
TAZ,A0A494C004_HUMAN
TAZ,A0A494C0D2_HUMAN
TAZ,A0A0S2Z4F4_HUMAN
TAZ,A0A494C0V5_HUMAN
TAZ,C9J699_HUMAN
TAZ,A0A494C141_HUMAN
TAZ,A0A499FJ53_HUMAN
TAZ,A0A0S2Z4K9_HUMAN
UGT1A3,UD13_HUMAN
UGT1A3,Q8WX89_HUMAN
UGT1A3,Q8WX90_HUMAN
UGT1A3,A9UKC9_HUMAN
UGT1A3,A9UKD1_HUMAN
UGT1A3,Q5DT01_HUMAN
UGT1A3,A7E1U5_HUMAN
UGT1A3,Q75XT5_HUMAN
UGT1A3,A9UKC8_HUMAN
UGT1A3,A7E1U9_HUMAN
UGT1A3,Q8WX91_HUMAN
UGT1A3,B1MV79_HUMAN
UGT1A3,A7E1U8_HUMAN
UGT1A3,Q75XT3_HUMAN
UGT1A3,A7E1U4_HUMAN
UGT1A3,A7ISW3_HUMAN
UGT1A3,A7E1U7_HUMAN
UGT1A3,A7E1U6_HUMAN
B3GNT3,B3GN3_HUMAN
B3GNT3,M0QX58_HUMAN
B3GNT3,M0R199_HUMAN
AGXT,AGT1_HUMAN
AGXT,A2V838_HUMAN
PRIM1,PRI1_HUMAN
PRIM1,A0A9L9PXM3_HUMAN
PRIM1,F8VSB2_HUMAN
PRIM1,A0A5F9ZHB6_HUMAN
PRIM1,F8VNY2_HUMAN
PRIM1,H0YIP2_HUMAN
PGM3,AGM1_HUMAN
PGM3,A0A8V8TMH7_HUMAN
PGM3,A0A494C1E2_HUMAN
PGM3,H0Y987_HUMAN
PGM3,H0Y8I3_HUMAN
PGM3,J3KN95_HUMAN
PGM3,D6RCD1_HUMAN
PGM3,A0A494C099_HUMAN
PGM3,A0A8V8TNM1_HUMAN
PGM3,A0A494C0G1_HUMAN
PGM3,D6RIS6_HUMAN
PGM3,A0A8V8TNG4_HUMAN
PGM3,A0A087WT27_HUMAN
PGM3,A0A8V8TMI1_HUMAN
PGM3,A0A8V8TM25_HUMAN
PGM3,A0A8V8TNT6_HUMAN
PGM3,D6RF77_HUMAN
PGM3,A0A8V8TLT8_HUMAN
PGM3,A0A494C1Q4_HUMAN
PGM3,A0A8V8TNH4_HUMAN
PGM3,D6RC77_HUMAN
PGM3,D6RCQ8_HUMAN
PGM3,S4R390_HUMAN
PGM3,A0A494C163_HUMAN
CHI3L1,CH3L1_HUMAN
CHI3L1,Q9NY39_HUMAN
CHI3L1,H0Y3U8_HUMAN
CHI3L1,Q9NY40_HUMAN
CHI3L1,Q9NY41_HUMAN
PCYT2,PCY2_HUMAN
PCYT2,I3L1F9_HUMAN
PCYT2,I3L1R7_HUMAN
PCYT2,I3L1C4_HUMAN
PCYT2,I3L2Q1_HUMAN
PCYT2,I3L1L9_HUMAN
PCYT2,I3L102_HUMAN
PCYT2,I3L3V9_HUMAN
PCYT2,I3NI16_HUMAN
ARSA,ARSA_HUMAN
ARSA,A0A0C4DFZ2_HUMAN
ARSA,A0A0S2Z309_HUMAN
ARSA,A0A0S2Z373_HUMAN
ARSA,V9GYR0_HUMAN
PANK3,PANK3_HUMAN
PANK3,E5RHA5_HUMAN
CYP11A1,CP11A_HUMAN
CYP11A1,C9JPU9_HUMAN
CYP11A1,H3BS93_HUMAN
CYP11A1,E7EPP8_HUMAN
CYP11A1,H3BSZ1_HUMAN
CYP11A1,C9JXV4_HUMAN
CYP11A1,A0A0S2Z3H9_HUMAN
CYP11A1,A0A0S2Z3T5_HUMAN
CYP11A1,A0A0S2Z3R3_HUMAN
CYP11A1,Q2HZF3_HUMAN
CYP11A1,A0A0S2Z3M2_HUMAN
PDE8A,PDE8A_HUMAN
PDE8A,Q86XV4_HUMAN
PDE8A,H0YNP3_HUMAN
PDE8A,H0YKR1_HUMAN
PDE8A,E9PIJ0_HUMAN
CYP2C18,CP2CI_HUMAN
CYP2C18,Q2XN56_HUMAN
UGT2B10,UDB10_HUMAN
DAO,OXDA_HUMAN
DAO,F8VV35_HUMAN
DAO,A0A024RBI1_HUMAN
DAO,A0A0S2Z3J4_HUMAN
DAO,F8W152_HUMAN
DAO,A0A0B4J257_HUMAN
DAO,A0A0B4J250_HUMAN
DAO,F8VVT2_HUMAN
IMPDH1,IMDH1_HUMAN
IMPDH1,H7C5T1_HUMAN
IMPDH1,C9K0R9_HUMAN
IMPDH1,A0A3B3IRL5_HUMAN
IMPDH1,F8WDE9_HUMAN
IMPDH1,C9J029_HUMAN
IMPDH1,C9J381_HUMAN
PGP,PGP_HUMAN
PGP,H3BV17_HUMAN
UGT2B17,UDB17_HUMAN
UGT2B17,A0A804HJ67_HUMAN
AMD1,DCAM_HUMAN
AMD1,B4DZ60_HUMAN
AMD1,Q5VXN5_HUMAN
AMD1,A0A5F9ZHD5_HUMAN
AMD1,F6R5I9_HUMAN
ADCY3,ADCY3_HUMAN
ADCY3,U3KQ91_HUMAN
ADCY3,U3KQR1_HUMAN
ADCY3,H7C1A6_HUMAN
ADCY3,C9JYB5_HUMAN
ADCY3,C9JLX3_HUMAN
ADCY3,A0A0A0MSC1_HUMAN
ADCY3,B7ZLX9_HUMAN
ADCY3,C9J969_HUMAN
CKMT2,KCRS_HUMAN
CKMT2,D6R998_HUMAN
CKMT2,D6RHV3_HUMAN
FBP1,F16P1_HUMAN
FBP1,Q2TU34_HUMAN
FBP1,A0A804HJK9_HUMAN
FBP1,Q5VZC3_HUMAN
FBP1,A0A3B3IUC7_HUMAN
ADPRM,ADPRM_HUMAN
ADPRM,W0NWJ0_HUMAN
ADPRM,V9GYR6_HUMAN
ATIC,PUR9_HUMAN
ATIC,F2Z3E8_HUMAN
ATIC,C9JLK0_HUMAN
ATIC,H7C1S2_HUMAN
ATIC,F8WEF0_HUMAN
HSD17B7,DHB7_HUMAN
HSD17B7,Q5T249_HUMAN
HSD17B7,F2Z2C2_HUMAN
HSD17B7,V9GYN3_HUMAN
MTMR6,MTMR6_HUMAN
MTMR6,A0A9L9PXJ0_HUMAN
ACADS,ACADS_HUMAN
ACADS,E5KSD5_HUMAN
ACADS,D4QEZ8_HUMAN
ACADS,E9PE82_HUMAN
ALOX12,LOX12_HUMAN
ALOX12,K7ENN9_HUMAN
GSR,GSHR_HUMAN
GSR,A0A2R8YF59_HUMAN
GSR,H0YC68_HUMAN
GSR,A0A2I6B3H4_HUMAN
HKDC1,HKDC1_HUMAN
HSD17B3,DHB3_HUMAN
HSD17B3,A0A0S2Z3V7_HUMAN
HSD17B3,A0A0S2Z3U6_HUMAN
HSD17B3,Q6FH62_HUMAN
HSD17B3,A0A0S2Z406_HUMAN
HSD17B3,A0A0S2Z413_HUMAN
HSD17B3,A0A3B3ITW2_HUMAN
HSD17B3,A0A3B3ITT4_HUMAN
MIF,MIF_HUMAN
MIF,I4AY87_HUMAN
MIF,A6MUU8_HUMAN
TPK1,TPK1_HUMAN
TPK1,Q6ZQX6_HUMAN
TPK1,F8VPB3_HUMAN
TPK1,Q75MX1_HUMAN
TPK1,L8E8Q3_HUMAN
TPK1,F8WCM7_HUMAN
TPK1,F8VRJ6_HUMAN
TPK1,F8VVJ1_HUMAN
TPK1,A0A090N8Y0_HUMAN
TPK1,F5GZG6_HUMAN
WARS2,SYWM_HUMAN
BAAT,BAAT_HUMAN
BAAT,A0A6Q8PHR9_HUMAN
BAAT,A0A6Q8PF60_HUMAN
PLOD1,PLOD1_HUMAN
PLOD1,Q5JXB7_HUMAN
PLOD1,Q5JXB8_HUMAN
ARG1,ARGI1_HUMAN
ARG1,A0A5F9ZH78_HUMAN
ARG1,A0A5F9ZGY6_HUMAN
ARG1,A0A5F9ZGN6_HUMAN
GMPS,GUAA_HUMAN
GNPNAT1,GNA1_HUMAN
GNPNAT1,G3V5E4_HUMAN
GNPNAT1,G3V4W4_HUMAN
ADO,AEDO_HUMAN
ADO,A0AA34QVG9_HUMAN
ALDH7A1,AL7A1_HUMAN
ALDH7A1,A0A1B0GW65_HUMAN
ALDH7A1,F8WD33_HUMAN
ALDH7A1,F8WDY6_HUMAN
ALDH7A1,A0A1B0GV49_HUMAN
ALDH7A1,A0A1B0GUY0_HUMAN
ALDH7A1,A0A0J9YWM6_HUMAN
ALDH7A1,A0A1B0GUA1_HUMAN
ALDH7A1,A0A1B0GW77_HUMAN
ALDH7A1,A0A0J9YWF7_HUMAN
ALDH7A1,A0A0J9YWK1_HUMAN
ALDH7A1,A0A1B0GTG2_HUMAN
ALDH7A1,A0A1B0GW82_HUMAN
ALDH7A1,H0YHM6_HUMAN
ALDH7A1,A0A1B0GTY9_HUMAN
ALDH7A1,F8VVF2_HUMAN
ALDH7A1,A0A1B0GVU0_HUMAN
ALDH7A1,A0A1B0GTJ4_HUMAN
CBS,CBS_HUMAN
CBS,Q5CCK6_HUMAN
CBS,C9JMA6_HUMAN
CBS,H7C2W0_HUMAN
CBS,H7C2H4_HUMAN
CBS,Q5CCK7_HUMAN
CBS,H7C1W6_HUMAN
GLUD2,DHE4_HUMAN
GLUD2,Q9BSD0_HUMAN
POGLUT1,PGLT1_HUMAN
POGLUT1,B4DVA9_HUMAN
POGLUT1,F8WDC4_HUMAN
POGLUT1,F8WEW4_HUMAN
POGLUT1,H7C5H0_HUMAN
UPB1,BUP1_HUMAN
UPB1,Q6AHZ8_HUMAN
UPB1,F8WC94_HUMAN
UPB1,A4QPH4_HUMAN
PNPO,PNPO_HUMAN
PNPO,A0A286YF16_HUMAN
PNPO,J3QQV6_HUMAN
PNPO,A0A286YF38_HUMAN
